Afli eftir fisktegundum og löndunarhöfnum, janúar 2010 - september 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2025;;;;;;;;;;;;2024;;;;;;;;;;;;2023;;;;;;;;;;;;2022;;;;;;;;;;;;2021;;;;;;;;;;;;2020;;;;;;;;;;;;2019;;;;;;;;;;;;2018;;;;;;;;;;;;2017;;;;;;;;;;;;2016;;;;;;;;;;;;2015;;;;;;;;;;;;2014;;;;;;;;;;;;2013;;;;;;;;;;;;2012;;;;;;;;;;;;2011;;;;;;;;;;;;2010;;;;;;;;;;;
;Borgarfjörður Eystri;29163;19977;36874;48872;65134;71573;89551;79340;70689;..;..;..;44546;24143;38457;43345;104314;69914;104824;64506;58816;144077;37025;26149;9743;13265;6256;32461;89832;100295;59537;106411;45623;72423;55211;41170;8417;8705;23731;29323;51184;101950;84944;142508;148409;61315;32974;28167;37301;11670;47702;10521;34654;68494;132919;269780;167747;43715;23806;29514;14729;24675;3789;2192;35440;75100;112733;153004;78680;97927;24153;25987;24277;23781;3757;15941;18283;74898;176617;156953;99862;52156;58416;..;27367;31117;18391;34504;63478;110233;210822;101249;148342;74671;77180;3749;34542;17962;18644;10674;28908;98395;120970;128520;124511;106960;26618;14982;52647;5168;29401;11177;51057;96697;73444;101339;238602;121774;102983;19237;25096;6569;18916;13544;32162;110607;134746;124466;301334;140021;74860;33466;576;1446;5375;26654;63459;87869;86981;117455;305487;145624;56670;8966;23061;6796;24297;44118;32288;39206;69391;109475;98497;57855;46245;22914;16542;4414;30877;29795;24417;86417;69966;65481;55221;48203;54089;39942;37464;17227;2095;4503;15138;29932;80834;85965;121881;23976;39508;8237;29285;34903;8710;14035;13170;53733;59635;82070;68583;43631;44140;43075
;Breiðdalsvík;108721;13109;70691;31190;77373;25618;8185;413;14481;..;..;..;46303;77942;20743;74279;68399;9541;36106;18176;36383;27323;68651;79647;99305;49971;38342;43448;17054;95305;33343;22658;59337;90006;75521;40771;110224;70489;33913;94572;109029;51884;44126;33006;60788;74885;66575;42720;81102;57231;71280;46219;117874;114707;64517;40607;144750;241324;126071;85356;72214;131372;25501;53262;121366;63658;102425;89700;113844;151535;159372;93036;129591;77695;28863;94318;254438;102351;94469;87243;94678;124653;307849;69937;118943;71811;58235;38633;80447;188968;143850;102859;60892;63258;146688;41564;303164;245613;34183;20968;234492;138891;76936;71375;10081;122565;122472;76404;226137;206679;117920;88403;213228;172991;41280;145410;14785;69752;120188;102933;97626;129442;184655;77858;246246;357239;144300;109916;128844;198377;202498;106165;76128;20810;131376;220994;432848;235751;84051;59786;169931;219020;225733;73292;4961;32858;98735;138148;270230;273798;109892;104490;517260;275435;49633;42343;28635;17067;93317;59839;25833;250015;129186;134581;280520;360980;17692;30432;24369;10385;60530;23744;40675;153847;126155;152246;208543;524326;488308;109235;6663;996;13615;8493;79630;117493;25980;126071;164559;41031;52407;..
;Brjánslækur;..;..;280;2272;9655;9656;13533;137;..;..;..;..;..;..;..;536;14093;15171;9755;1092;..;635;1464;..;..;..;..;..;7434;14085;7127;3905;..;1839;1483;..;..;..;..;..;14531;18436;11932;..;..;151;..;..;..;..;..;..;834;7431;6138;15634;486;3392;6474;401;..;..;..;..;3275;2774;13138;20612;..;2924;..;..;..;..;..;6095;2566;1959;4422;20978;2119;737;1169;..;..;..;..;4292;1460;1563;1547;..;2295;..;..;..;1545;1487;999;1061;1680;508;715;237;1004;1405;646;..;..;..;..;125;3016;6194;3048;3420;1221;1017;2849;1955;..;..;..;231;3088;2482;5575;4002;1099;3154;2576;249;..;..;773;1600;10517;6824;6922;446;..;5899;6086;..;..;..;..;4046;4953;11671;9725;3045;1158;4919;8572;3771;..;2421;..;7971;6679;6805;17245;10772;1993;10708;6194;3769;..;..;394;191;10906;8876;18250;12100;497;..;0;..;..;12196;2215;441;2568;9385;8439;4252;..;205;6331;..
;Búðardalur;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Dalvík;1064428;708664;115598;19801;569870;632740;322316;464245;1345923;..;..;..;780400;787185;459598;369686;825622;366821;784264;1175492;890470;940476;919398;1196699;669692;598843;52008;68056;556886;540838;375627;660104;1466288;908432;1544509;1245309;799736;504493;401412;57990;414813;619216;334584;1516564;1311346;980734;987797;949719;1293527;1068265;241804;535758;545274;1122170;282161;1103238;915133;1287261;1172254;1481265;1196257;904121;688253;376855;377176;855736;485406;417106;2337817;1133993;1637791;1822538;1230043;996577;609443;491471;685711;497710;544887;619810;1009442;908464;1248152;680794;1411419;1246325;987809;751529;1750883;1077999;479317;1401944;2070093;1746366;1860614;1151320;99837;358671;1065132;516056;1208111;1431681;466089;894144;2640329;2558037;2191369;2133305;1280049;747270;708301;823978;1673297;1488624;317288;711158;2436611;3289278;1836873;995162;1048274;1666089;1714913;711020;639772;817586;261153;473306;2935691;2221856;1623916;1066064;1147053;651146;795848;1297086;1258259;1597590;832089;206093;2162285;3371672;2126927;1329251;768505;908474;751679;454612;1404608;757268;1215184;516374;1535678;1911086;2234565;1313064;510165;697151;1028255;646829;824598;894100;936305;794531;1606302;1348324;1386022;724926;536461;634847;880522;214774;290201;387730;59767;170811;1318765;1310994;846622;1141656;800739;351867;448732;324972;427180;415953;182027;410923;1213504;1319819;1156609;832878
;Djúpivogur;249764;374461;381613;385063;449954;231997;140499;298811;722005;..;..;..;423455;561081;208571;400156;378851;114535;200054;168201;1237724;378076;296038;265045;445304;452459;150397;435367;621938;466704;94043;80373;506685;1376636;193154;295297;435963;232252;150873;327072;242609;125314;68881;69604;134363;243920;279479;118273;320553;358265;366085;221727;190814;289750;196419;92195;46838;198548;263713;542584;699219;799866;117495;170299;412830;273601;218815;296375;540949;1227128;491128;815711;755578;368868;264424;337418;471637;132683;314714;395947;686415;1188357;1709208;816998;377627;207041;168885;297219;204190;465731;179783;291004;347961;705049;2136343;770610;202014;415378;77060;68171;424742;247705;204364;1292972;1875342;1020480;438950;208052;587886;324372;219759;292557;416388;389951;160261;187177;575528;131867;414663;78351;37748;54624;79626;119440;138632;189456;446150;549826;736472;428357;723279;801905;602632;14984;48882;79168;324006;494324;326490;369628;2698248;1995666;2308300;308216;575417;107961;109427;242539;643814;585499;428324;575032;2008217;1511634;727974;541993;908369;143014;114867;70745;262279;226994;226539;139700;1191719;1511915;1850899;869286;291377;30779;334384;33768;100979;139329;184530;259619;498762;482861;660188;483312;235737;117039;48928;23822;67615;84750;111371;355567;534126;211819;1272543;940236
;Drangsnes;129193;57657;33402;27766;49977;76786;98171;50727;39353;..;..;..;67138;45412;23327;34793;52623;53893;53517;33427;87861;111871;84322;81615;38099;70591;15744;37357;40509;95381;24990;70966;12661;52000;87661;55000;75088;71583;48560;36748;49916;56237;46700;36392;52713;67584;85955;62251;93889;60843;15065;55614;30070;37639;61827;84185;23438;48628;53245;75562;38287;68507;51279;25734;40405;103713;84615;67306;51826;54619;86420;41756;88120;64553;29516;9698;13519;66253;113651;91024;125669;64075;121495;24776;66891;49649;39341;19606;41650;44204;68163;91086;48289;67354;67498;54282;84625;58404;47569;9001;35221;44528;50837;65995;25383;48321;61251;50703;91262;62291;39431;24834;38655;43701;55047;46883;41092;50363;76331;45872;71493;30214;83350;9541;27589;36912;37788;39836;37336;68278;65005;51931;91169;37589;54378;22511;69990;69259;36837;16486;7313;27272;62549;26630;57754;62699;20303;7345;29185;62256;74969;62635;52646;38991;53788;29622;60014;66377;36817;9343;41502;70274;64247;40219;51127;46828;38222;51296;32038;39624;20527;8544;32283;41644;97055;67442;19946;23468;48946;19354;52617;16791;17677;5178;2763;41779;40799;34908;12392;14956;16409;23657
;Eskifjörður;26319;109193;..;..;5181;160658;76178;228960;2192;..;..;..;86413;..;30407;1033;..;2092;..;66194;83731;158526;79524;19036;..;123422;12443;..;3818;10836;2882;..;93447;218039;230957;153218;72923;4014;63482;..;42328;1437;3426;..;1580;460109;444433;23725;35507;103961;..;..;2598;10830;24180;9958;625;21641;4609;204048;494265;343581;18995;212892;3981;9094;70294;152105;260439;1446148;248272;132920;309328;51706;29758;158;3155;35899;35095;72011;372507;785352;424999;515424;67257;64265;117975;..;9908;25582;25013;66697;320351;531437;1106165;186533;10249;1741;1277707;1940;7655;18976;50866;169242;89372;490404;80448;2129;190675;321087;167628;3836;74470;22131;247759;254673;365003;536812;488336;33069;64482;293046;14833;877;17359;23560;39310;105812;306289;542160;188931;148429;384835;690995;38237;76446;132744;123415;53864;73363;368352;1041645;578695;179934;38167;28292;39210;264712;226942;16508;31032;196578;194609;167761;282185;95554;235640;112430;244313;1732;12005;101615;44268;43658;563469;506467;837648;14805;49124;36586;6225;4231;302668;27856;48204;18415;37367;347816;255510;17521;102000;1082213;190438;89776;22812;11042;19078;25499;35766;159512;216231;26734
;Fáskrúðsfjörður;248507;261055;125990;203492;205331;58562;195401;224794;432596;..;..;..;262657;215364;102872;167279;319989;183715;253728;113841;286980;356808;180241;169705;158360;185553;61477;176363;136768;37245;123792;..;158327;276251;134580;153673;305803;390442;71796;174084;309995;182333;157263;245176;300003;318415;227282;124452;258938;161516;97499;144620;233804;196080;161984;86015;175977;354827;181095;197596;271072;246479;62841;276940;382176;463811;214954;162857;272220;374276;414878;300614;288734;456002;291423;220681;292856;123711;89275;..;97416;328027;246371;182228;394066;283975;28117;356376;374457;301554;241318;153118;249946;10540;494880;312216;1229;27631;181606;245980;460508;356578;398967;300060;158889;93089;422632;278935;247838;74424;136680;281898;276775;149449;128899;6;14;107448;258900;223827;290531;81;51769;239470;141402;315746;244812;4790;150481;349173;295126;408446;336117;229799;322519;179641;249288;79416;109516;549;162467;15015;2094;188709;193079;198674;171353;319632;298690;264396;172984;3493;113344;277008;497633;300162;142938;143692;140597;281478;180749;73436;3144;13765;170209;225022;190874;151697;200454;94290;144531;157295;244632;68093;28750;19618;91312;221377;168633;145880;280657;176614;55000;187080;179200;91257;44757;99774;168943;219558;278984;104125
;Flateyri;..;..;..;1217;40872;38990;42347;31566;4961;..;..;..;..;..;1653;3229;35789;76091;42345;22126;10776;932;813;378;..;66715;28710;19592;19332;64858;39926;54804;20350;1560;1093;..;66943;34961;81659;16858;108277;91892;90232;22523;19268;..;..;..;3227;21989;32651;1494;132386;97186;84241;113895;31648;18375;14490;10644;1043;..;..;..;102631;95598;220462;142264;10714;3174;18090;10073;76647;43783;27138;21236;45554;49598;93770;39473;27863;6765;21118;4446;77955;39474;32834;22374;146715;102291;151029;81473;25867;43629;72728;54722;103170;70667;37041;8014;57936;99450;168191;220699;36887;65403;63300;59774;160602;105711;34807;23145;152354;139755;168048;259670;100430;431606;143343;139261;73823;34459;1962;2722;69942;146048;94809;148321;83603;91197;65254;101261;117122;49840;20170;14513;161261;214553;236978;135708;24079;57324;145701;28048;48848;100804;5977;16298;42455;257014;289889;103585;48662;74606;124840;65423;84868;64802;26221;31840;98251;224134;271160;133964;31750;43900;19618;22690;2626;19177;53462;15181;40383;80830;129516;175508;14950;14423;13288;62049;79445;31321;12408;1151;27365;70730;46331;31317;21950;20568;30893;9458
;Gjögur;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;737;4329;3302;3625;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Grenivík;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1414;..;..;..;..;..;..;..;..;..;..;10774;10002;605;..;..;..;..;..;..;..;..;..;6670;5135;206;..;..;..;..;..;..;..;..;..;5924;12337;129;..;..;..;..;..;..;..;..;..;27587;15752;49;..;..;..;..;..;..;..;..;..;30464;18070;..;..;..;..;..;..;..;..;..;..;4000;10997;..;..;..;..;..;..;..;..;..;..;9642;8161;..;..;..;..;..;..;..;..;..;..;25274;16334;0;..;..;..;64526;..;..;..;248;303;9457;7782;..;..;..;..;..;..;32141;0;41104;64506;15889;9054;45133;..;..;..;..;..;44949;..;..;..;58801;54272;1066;57512;..;..;..;..;..;..;34767;47057;39539;34281;69918;30852;787;391;68;..;..;..
